game_index,seed,winner,turns_played,winner_label,p1_agent,p2_agent
0,0,-1,58,P2_heuristic,Expectimax(d=1),Heuristic
1,1,-1,40,P2_heuristic,Expectimax(d=1),Heuristic
2,2,1,39,P1_expectimax,Expectimax(d=1),Heuristic
3,3,1,43,P1_expectimax,Expectimax(d=1),Heuristic
4,4,1,49,P1_expectimax,Expectimax(d=1),Heuristic
5,5,-1,60,P2_heuristic,Expectimax(d=1),Heuristic
6,6,-1,46,P2_heuristic,Expectimax(d=1),Heuristic
7,7,-1,52,P2_heuristic,Expectimax(d=1),Heuristic
8,8,1,59,P1_expectimax,Expectimax(d=1),Heuristic
9,9,-1,54,P2_heuristic,Expectimax(d=1),Heuristic
10,10,1,55,P1_expectimax,Expectimax(d=1),Heuristic
11,11,-1,64,P2_heuristic,Expectimax(d=1),Heuristic
12,12,1,55,P1_expectimax,Expectimax(d=1),Heuristic
13,13,1,51,P1_expectimax,Expectimax(d=1),Heuristic
14,14,-1,38,P2_heuristic,Expectimax(d=1),Heuristic
15,15,-1,52,P2_heuristic,Expectimax(d=1),Heuristic
16,16,-1,56,P2_heuristic,Expectimax(d=1),Heuristic
17,17,1,59,P1_expectimax,Expectimax(d=1),Heuristic
18,18,-1,42,P2_heuristic,Expectimax(d=1),Heuristic
19,19,1,55,P1_expectimax,Expectimax(d=1),Heuristic
20,20,-1,50,P2_heuristic,Expectimax(d=1),Heuristic
21,21,-1,46,P2_heuristic,Expectimax(d=1),Heuristic
22,22,-1,62,P2_heuristic,Expectimax(d=1),Heuristic
23,23,-1,48,P2_heuristic,Expectimax(d=1),Heuristic
24,24,-1,46,P2_heuristic,Expectimax(d=1),Heuristic
25,25,-1,44,P2_heuristic,Expectimax(d=1),Heuristic
26,26,1,51,P1_expectimax,Expectimax(d=1),Heuristic
27,27,-1,56,P2_heuristic,Expectimax(d=1),Heuristic
28,28,-1,46,P2_heuristic,Expectimax(d=1),Heuristic
29,29,1,39,P1_expectimax,Expectimax(d=1),Heuristic
30,30,1,41,P1_expectimax,Expectimax(d=1),Heuristic
31,31,1,53,P1_expectimax,Expectimax(d=1),Heuristic
32,32,-1,50,P2_heuristic,Expectimax(d=1),Heuristic
33,33,1,49,P1_expectimax,Expectimax(d=1),Heuristic
34,34,-1,54,P2_heuristic,Expectimax(d=1),Heuristic
35,35,-1,62,P2_heuristic,Expectimax(d=1),Heuristic
36,36,-1,54,P2_heuristic,Expectimax(d=1),Heuristic
37,37,-1,40,P2_heuristic,Expectimax(d=1),Heuristic
38,38,-1,40,P2_heuristic,Expectimax(d=1),Heuristic
39,39,-1,56,P2_heuristic,Expectimax(d=1),Heuristic
40,40,-1,44,P2_heuristic,Expectimax(d=1),Heuristic
41,41,1,55,P1_expectimax,Expectimax(d=1),Heuristic
42,42,-1,56,P2_heuristic,Expectimax(d=1),Heuristic
43,43,-1,36,P2_heuristic,Expectimax(d=1),Heuristic
44,44,-1,46,P2_heuristic,Expectimax(d=1),Heuristic
45,45,-1,56,P2_heuristic,Expectimax(d=1),Heuristic
46,46,-1,42,P2_heuristic,Expectimax(d=1),Heuristic
47,47,1,41,P1_expectimax,Expectimax(d=1),Heuristic
48,48,1,53,P1_expectimax,Expectimax(d=1),Heuristic
49,49,1,47,P1_expectimax,Expectimax(d=1),Heuristic
